tipo;prov;mun;clase;refcat;uc;provine;provincia;mundgc;munine;municipio;entidad;codvia;tipovia;nombrevia;ndp;letra;ndp2;letra2;km;direccionne;anyoconstr;exactituda;superficie;longitudfa
13;46;019;UR;5120302YJ1452A;0003;46;VALENCIA;019;019;L'ALCUDIA;;00079;CL;JOANOT MARTOREL;0055;;0000;;00000;;2000;E;0000000;01459
13;46;019;UR;5421709YJ1452S;0001;46;VALENCIA;019;019;L'ALCUDIA;;00133;CL;GERMANIES;0027;;0000;;00000;;1980;E;0000000;00735
13;46;019;UR;5421709YJ1452S;0002;46;VALENCIA;019;019;L'ALCUDIA;;00133;CL;GERMANIES;0027;;0000;;00000;;1980;E;0000116;00735
13;46;019;UR;5421709YJ1452S;0003;46;VALENCIA;019;019;L'ALCUDIA;;00133;CL;GERMANIES;0027;;0000;;00000;;2003;E;0000000;00735
13;46;019;UR;5421204YJ1452S;0001;46;VALENCIA;019;019;L'ALCUDIA;;00074;CL;SANTIAGO APOSTOL;0039;;0000;;00000;;1986;E;0000000;01100
13;46;019;UR;5421204YJ1452S;0002;46;VALENCIA;019;019;L'ALCUDIA;;00074;CL;SANTIAGO APOSTOL;0039;;0000;;00000;;1986;E;0000200;01100
13;46;019;UR;5421204YJ1452S;0003;46;VALENCIA;019;019;L'ALCUDIA;;00074;CL;SANTIAGO APOSTOL;0039;;0000;;00000;;1993;E;0000000;01100
13;46;019;UR;5421201YJ1452S;0001;46;VALENCIA;019;019;L'ALCUDIA;;00074;CL;SANTIAGO APOSTOL;0047;;0000;;00000;;2005;E;0000000;00000
13;46;019;UR;5421201YJ1452S;0002;46;VALENCIA;019;019;L'ALCUDIA;;00074;CL;SANTIAGO APOSTOL;0047;;0000;;00000;;2005;E;0000000;00000
13;46;019;UR;5421201YJ1452S;0003;46;VALENCIA;019;019;L'ALCUDIA;;00074;CL;SANTIAGO APOSTOL;0047;;0000;;00000;;2005;E;0000000;00000
